problem_name,count,completion_tokens,prompt_tokens,mean_completion_tokens,median_completion_tokens,std_completion_tokens,var_completion_tokens,min_completion_tokens,max_completion_tokens,mean_prompt_tokens,median_prompt_tokens,std_prompt_tokens,var_prompt_tokens,min_prompt_tokens,max_prompt_tokens,accuracy,precision,recall,f1_score
Connected Maximum-density Still Life,32,128,19573,4.0,4.0,0.0,0.0,4,4,611.65625,609.0,4.209125071908382,17.71673387096774,607,616,1.0,1.0,1.0,1.0
Crossing Minimization,32,11473,141200,358.53125,362.0,77.06050591957364,5938.321572580645,238,486,4412.5,4421.0,152.7544941527776,23333.935483870966,4163,4667,1.0,1.0,1.0,1.0
Graceful Graphs,32,1536,19799,48.0,48.0,0.0,0.0,48,48,618.71875,619.0,2.0515041688572584,4.20866935483871,615,622,1.0,1.0,1.0,1.0
Graph Colouring,32,41299,99728,1290.59375,847.0,2578.6624046933775,6649499.797379033,270,15324,3116.5,3088.0,302.85959698162276,91723.93548387097,2305,3496,0.69,0.69,0.98,0.8
Incremental Scheduling,32,20967,851850,655.21875,562.5,352.5240540294447,124273.20866935483,429,2434,26620.3125,25737.0,1206.1739680199669,1454855.6411290322,25387,28201,0.75,0.75,0.95,0.83
Knight Tour,32,1197,40928,37.40625,43.0,19.795501892129188,391.8618951612903,6,69,1279.0,1294.0,52.62895069838371,2769.8064516129034,1195,1361,1.0,1.0,1.0,1.0
Knight Tour With Holes,32,1906,43480,59.5625,60.0,1.7215428189328765,2.963709677419355,53,60,1358.75,1360.0,6.319452814205336,39.935483870967744,1336,1368,1.0,1.0,1.0,1.0
Labyrinth,32,56638,228952,1769.9375,1600.0,789.0025936218052,622525.0927419355,843,3147,7154.75,7153.5,6.956083436402524,48.38709677419355,7136,7171,1.0,1.0,1.0,1.0
Maximal Clique Problem,32,3445,54162,107.65625,106.5,11.646983203470995,135.6522177419355,86,155,1692.5625,1697.0,14.615364209206074,213.60887096774192,1653,1715,0.99,0.99,1.0,0.99
Nomystery,32,6200,230823,193.75,200.0,17.85424861338015,318.7741935483871,164,212,7213.21875,7264.0,140.40901872857947,19714.69254032258,6959,7374,0.99,0.99,1.0,0.99
Partner Units,32,5376,83707,168.0,165.0,12.971432631599681,168.25806451612902,165,237,2615.84375,2612.0,14.721302044009821,216.71673387096774,2609,2690,1.0,1.0,1.0,1.0
Permutation Pattern Matching,32,3292,91732,102.875,101.0,7.533794828380252,56.75806451612903,101,143,2866.625,2868.5,35.86061726975348,1285.983870967742,2789,2939,0.98,0.98,1.0,0.99
Ricochet Robots,32,5102,198416,159.4375,148.0,26.50007608023163,702.2540322580645,148,220,6200.5,6193.0,36.65444566620499,1343.5483870967741,6153,6298,0.94,0.94,0.97,0.95
Sokoban,32,13401,442161,418.78125,406.0,40.18805341263463,1615.0796370967741,375,530,13817.53125,13738.5,374.0407933915333,139906.51512096773,13410,14913,0.92,0.92,1.0,0.96
Stable Marriage,32,5557,75458,173.65625,176.0,6.115075896978421,37.39415322580645,154,187,2358.0625,2356.0,9.96101270923536,99.22177419354838,2332,2378,0.99,0.99,0.98,0.98
Valves Location Problem,32,6392,247144,199.75,201.0,20.445048300260872,418.0,161,231,7723.25,7718.0,68.01470429252781,4626.0,7595,7871,0.91,0.91,1.0,0.95
