Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.97,0.97,0.97,0.97
Crossing Minimization,0.99,0.99,1.00,1.00
Graceful Graphs,1.00,1.00,1.00,1.00
Graph Colouring,0.95,0.95,0.98,0.96
Incremental Scheduling,0.89,0.89,0.97,0.93
Knight Tour,1.00,1.00,1.00,1.00
Knight Tour With Holes,1.00,1.00,1.00,1.00
Labyrinth,1.00,1.00,1.00,1.00
Maximal Clique Problem,1.00,1.00,1.00,1.00
Nomystery,0.97,0.97,0.99,0.98
Partner Units,0.99,0.99,1.00,0.99
Permutation Pattern Matching,0.85,0.85,0.88,0.86
Ricochet Robots,0.89,0.89,0.91,0.90
Sokoban,0.93,0.93,0.99,0.96
Stable Marriage,0.96,0.96,0.94,0.95
Valves Location Problem,0.95,0.95,0.99,0.97
Overall Results,0.96,0.96,0.98,0.97
