Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.99,0.99,0.99,0.99
Graceful Graphs,1.00,1.00,1.00,1.00
Graph Colouring,1.00,1.00,1.00,1.00
Incremental Scheduling,0.83,0.83,0.98,0.90
Knight Tour,0.91,0.91,0.89,0.90
Knight Tour With Holes,1.00,1.00,0.72,0.81
Labyrinth,1.00,1.00,0.92,0.93
Maximal Clique Problem,1.00,1.00,0.99,1.00
Nomystery,1.00,1.00,0.91,0.95
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.95,0.95,0.99,0.96
Ricochet Robots,0.95,0.95,0.68,0.79
Sokoban,0.91,0.91,0.99,0.95
Stable Marriage,0.96,0.96,0.92,0.94
Valves Location Problem,0.87,0.87,0.82,0.84
Overall Results,0.96,0.96,0.93,0.93
