Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.52,0.52,0.52,0.52
Graceful Graphs,1.00,1.00,0.98,0.99
Graph Colouring,0.74,0.74,0.94,0.82
Incremental Scheduling,0.69,0.69,0.85,0.76
Knight Tour,0.98,0.98,1.00,0.99
Knight Tour With Holes,1.00,1.00,1.00,1.00
Labyrinth,1.00,1.00,1.00,1.00
Maximal Clique Problem,0.99,0.99,1.00,0.99
Nomystery,0.99,0.99,1.00,0.99
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.52,0.52,0.52,0.52
Ricochet Robots,0.83,0.83,0.87,0.85
Sokoban,0.90,0.90,0.97,0.93
Stable Marriage,1.00,1.00,0.98,0.99
Valves Location Problem,0.94,0.94,1.00,0.97
Overall Results,0.88,0.88,0.91,0.90
