Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,1.00,1.00,1.00,1.00
Graceful Graphs,1.00,1.00,0.98,0.98
Graph Colouring,0.80,0.80,0.98,0.88
Incremental Scheduling,0.88,0.88,0.99,0.93
Knight Tour,1.00,1.00,1.00,1.00
Knight Tour With Holes,1.00,1.00,1.00,1.00
Labyrinth,1.00,1.00,0.97,0.97
Maximal Clique Problem,1.00,1.00,1.00,1.00
Nomystery,1.00,1.00,1.00,1.00
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.99,0.99,1.00,0.99
Ricochet Robots,1.00,1.00,1.00,1.00
Sokoban,0.93,0.93,1.00,0.96
Stable Marriage,0.99,0.99,0.96,0.98
Valves Location Problem,0.91,0.91,1.00,0.95
Overall Results,0.97,0.97,0.99,0.98
