Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.93,0.93,0.98,0.96
Graceful Graphs,1.00,1.00,0.95,0.97
Graph Colouring,0.60,0.60,0.88,0.71
Incremental Scheduling,0.83,0.83,0.97,0.89
Knight Tour,1.00,1.00,1.00,1.00
Knight Tour With Holes,0.99,0.99,0.77,0.84
Labyrinth,1.00,1.00,0.99,1.00
Maximal Clique Problem,1.00,1.00,1.00,1.00
Nomystery,0.99,0.99,0.97,0.98
Partner Units,0.28,0.28,0.24,0.25
Permutation Pattern Matching,0.56,0.56,0.55,0.55
Ricochet Robots,0.93,0.93,0.66,0.77
Sokoban,0.93,0.93,0.97,0.95
Stable Marriage,0.97,0.97,0.97,0.97
Valves Location Problem,0.99,0.99,0.99,0.99
Overall Results,0.88,0.88,0.87,0.86
