Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.99,0.99,1.00,0.99
Graceful Graphs,1.00,1.00,1.00,1.00
Graph Colouring,0.73,0.73,0.94,0.81
Incremental Scheduling,0.80,0.80,0.99,0.88
Knight Tour,1.00,1.00,1.00,1.00
Knight Tour With Holes,1.00,1.00,1.00,1.00
Labyrinth,0.97,0.97,1.00,0.98
Maximal Clique Problem,0.97,0.97,1.00,0.98
Nomystery,1.00,1.00,1.00,1.00
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.96,0.96,0.99,0.97
Ricochet Robots,0.94,0.94,0.97,0.95
Sokoban,0.85,0.85,1.00,0.91
Stable Marriage,0.98,0.98,0.97,0.98
Valves Location Problem,0.93,0.93,1.00,0.96
Overall Results,0.95,0.95,0.99,0.96
