Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.50,0.50,0.50,0.50
Crossing Minimization,0.97,0.97,0.99,0.98
Graceful Graphs,1.00,1.00,1.00,1.00
Graph Colouring,0.90,0.90,0.92,0.91
Incremental Scheduling,0.68,0.68,0.92,0.78
Knight Tour,0.94,0.94,0.93,0.93
Knight Tour With Holes,0.99,0.99,0.71,0.80
Labyrinth,1.00,1.00,0.64,0.69
Maximal Clique Problem,0.99,0.99,1.00,0.99
Nomystery,1.00,1.00,0.90,0.94
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.71,0.71,0.89,0.79
Ricochet Robots,0.90,0.90,0.73,0.80
Sokoban,0.92,0.92,1.00,0.96
Stable Marriage,0.95,0.95,0.92,0.94
Valves Location Problem,0.87,0.87,0.81,0.84
Overall Results,0.89,0.89,0.87,0.87
