Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.91,0.91,0.91,0.91
Graceful Graphs,1.00,1.00,1.00,1.00
Graph Colouring,0.99,0.99,1.00,0.99
Incremental Scheduling,0.83,0.83,0.98,0.90
Knight Tour,0.75,0.75,0.73,0.74
Knight Tour With Holes,0.97,0.97,0.69,0.79
Labyrinth,1.00,1.00,1.00,1.00
Maximal Clique Problem,1.00,1.00,0.99,1.00
Nomystery,1.00,1.00,0.89,0.94
Partner Units,1.00,1.00,1.00,1.00
Permutation Pattern Matching,0.85,0.85,0.99,0.89
Ricochet Robots,0.85,0.85,0.68,0.75
Sokoban,0.88,0.88,1.00,0.93
Stable Marriage,0.94,0.94,0.91,0.92
Valves Location Problem,0.90,0.90,0.81,0.85
Overall Results,0.93,0.93,0.91,0.91
