Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.66,0.66,1.00,0.77
Crossing Minimization,0.86,0.86,0.81,0.83
Graceful Graphs,0.99,0.99,0.98,0.98
Graph Colouring,0.72,0.72,0.79,0.73
Incremental Scheduling,0.87,0.87,0.69,0.76
Knight Tour,0.97,0.97,0.98,0.97
Knight Tour With Holes,0.87,0.87,0.85,0.86
Labyrinth,0.84,0.84,0.34,0.41
Maximal Clique Problem,1.00,1.00,0.88,0.93
Nomystery,0.96,0.96,0.77,0.85
Partner Units,0.21,0.21,0.19,0.20
Permutation Pattern Matching,0.62,0.62,0.60,0.61
Ricochet Robots,0.79,0.79,0.56,0.66
Sokoban,0.81,0.81,0.63,0.70
Stable Marriage,0.67,0.67,0.67,0.67
Valves Location Problem,0.96,0.96,0.86,0.90
Overall Results,0.80,0.80,0.72,0.74
