Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,1.00,1.00,1.00,1.00
Crossing Minimization,0.41,0.41,0.70,0.51
Graceful Graphs,0.97,0.97,0.92,0.94
Graph Colouring,0.45,0.45,0.62,0.50
Incremental Scheduling,0.22,0.22,0.92,0.35
Knight Tour,0.78,0.78,1.00,0.81
Knight Tour With Holes,0.72,0.72,0.82,0.74
Labyrinth,0.82,0.82,0.93,0.83
Maximal Clique Problem,0.90,0.90,0.98,0.93
Nomystery,0.68,0.68,0.56,0.60
Partner Units,0.63,0.63,0.98,0.76
Permutation Pattern Matching,0.51,0.51,0.71,0.58
Ricochet Robots,0.52,0.52,0.66,0.55
Sokoban,0.48,0.48,0.55,0.49
Stable Marriage,0.29,0.29,0.44,0.34
Valves Location Problem,0.65,0.65,0.80,0.70
Overall Results,0.63,0.63,0.79,0.66
