Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.97,0.97,0.97,0.97
Crossing Minimization,0.09,0.09,0.15,0.11
Graceful Graphs,0.92,0.92,0.75,0.82
Graph Colouring,0.38,0.38,0.40,0.37
Incremental Scheduling,0.10,0.10,0.22,0.13
Knight Tour,0.51,0.51,0.99,0.65
Knight Tour With Holes,0.49,0.49,0.48,0.46
Labyrinth,0.74,0.74,0.38,0.44
Maximal Clique Problem,0.93,0.93,0.92,0.92
Nomystery,0.33,0.33,0.32,0.31
Partner Units,0.58,0.58,0.84,0.67
Permutation Pattern Matching,0.38,0.38,0.68,0.47
Ricochet Robots,0.15,0.15,0.27,0.18
Sokoban,0.18,0.18,0.18,0.17
Stable Marriage,0.43,0.43,0.56,0.48
Valves Location Problem,0.31,0.31,0.46,0.36
Overall Results,0.52,0.52,0.58,0.52
