Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.37,0.37,1.00,0.44
Crossing Minimization,0.93,0.93,0.95,0.94
Graceful Graphs,0.94,0.94,0.96,0.95
Graph Colouring,0.63,0.63,0.85,0.69
Incremental Scheduling,0.53,0.53,0.71,0.57
Knight Tour,0.80,0.80,0.80,0.80
Knight Tour With Holes,0.84,0.84,0.83,0.83
Labyrinth,0.84,0.84,0.73,0.70
Maximal Clique Problem,0.89,0.89,0.97,0.90
Nomystery,0.98,0.98,0.86,0.92
Partner Units,0.30,0.30,0.31,0.31
Permutation Pattern Matching,0.50,0.50,0.52,0.50
Ricochet Robots,0.75,0.75,0.58,0.65
Sokoban,0.78,0.78,0.69,0.72
Stable Marriage,0.73,0.73,0.75,0.74
Valves Location Problem,0.88,0.88,0.92,0.89
Overall Results,0.73,0.73,0.78,0.72
