Problem Name,Accuracy,Precision,Recall,F1 Score
Connected Maximum-density Still Life,0.48,0.48,0.75,0.57
Crossing Minimization,0.83,0.83,0.73,0.77
Graceful Graphs,0.84,0.84,0.81,0.83
Graph Colouring,0.86,0.86,0.80,0.81
Incremental Scheduling,0.85,0.85,0.65,0.73
Knight Tour,0.61,0.61,0.61,0.61
Knight Tour With Holes,0.45,0.45,0.45,0.45
Labyrinth,0.92,0.92,0.28,0.35
Maximal Clique Problem,0.95,0.95,0.83,0.88
Nomystery,0.96,0.96,0.71,0.81
Partner Units,0.10,0.10,0.06,0.07
Permutation Pattern Matching,0.33,0.33,0.31,0.32
Ricochet Robots,0.87,0.87,0.56,0.68
Sokoban,0.86,0.86,0.68,0.75
Stable Marriage,0.74,0.74,0.75,0.74
Valves Location Problem,0.02,0.02,0.02,0.02
Overall Results,0.67,0.67,0.56,0.59
